key,description,language,text
csv.date_of_birth,CSV header,te,పుట్టిన తేదీ
csv.date_of_birth,CSV header,mr,जन्म तारीख
csv.date_of_birth,CSV header,kn,ಹುಟ್ಟಿದ ದಿನಾಂಕ
csv.gender,CSV header,en,Gender
csv.gender,CSV header,hi,लिंग
csv.gender,CSV header,bn,লিঙ্গ
csv.gender,CSV header,ml,ലിംഗം
csv.gender,CSV header,ta,பாலினம்
csv.gender,CSV header,te,లింగం
csv.gender,CSV header,mr,लिंग
csv.gender,CSV header,kn,ಲಿಂಗ
